Date,Store,Store_Type,Store_Status,Promo,Promo2,School_Holiday,Customers,Sales,DayOfWeek,is_holiday
2021-01-01,1,supermarket,1,0,0,0,124,0,4,1
2021-01-02,1,pharmacy,1,0,0,0,87,0,5,0
2021-01-03,1,supermarket,1,1,0,0,74,778,6,0
2021-01-04,1,supermarket,0,1,0,0,0,0,0,0
2021-01-05,1,pharmacy,1,1,0,0,76,1002,1,0
2021-01-06,1,pharmacy,1,0,0,0,103,0,2,0
2021-01-07,1,supermarket,1,0,0,0,126,0,3,0
2021-01-08,1,convenience,0,0,1,0,0,0,4,0
2021-01-09,1,supermarket,1,1,0,0,129,1503,5,0
2021-01-10,1,supermarket,1,0,0,0,92,126,6,0
2021-01-11,1,supermarket,1,0,0,0,91,0,0,0
2021-01-12,1,supermarket,1,1,0,0,92,1004,1,0
2021-01-13,1,pharmacy,1,0,0,0,113,76,2,0
2021-01-14,1,supermarket,1,0,0,0,94,0,3,0
2021-01-15,1,convenience,1,0,0,0,98,57,4,0
2021-01-16,1,pharmacy,1,0,0,0,99,0,5,0
2021-01-17,1,convenience,1,0,0,0,104,102,6,0
2021-01-18,1,convenience,0,0,0,0,0,0,0,1
2021-01-19,1,convenience,1,0,0,0,84,0,1,0
2021-01-20,1,convenience,1,0,0,0,106,59,2,0
2021-01-21,1,pharmacy,1,0,0,0,89,1,3,0
2021-01-22,1,pharmacy,1,0,0,0,92,0,4,0
2021-01-23,1,convenience,1,0,1,0,94,0,5,0
2021-01-24,1,convenience,1,0,0,0,102,0,6,0
2021-01-25,1,pharmacy,1,0,0,0,90,0,0,0
2021-01-26,1,pharmacy,1,0,0,0,97,0,1,0
2021-01-27,1,pharmacy,1,0,0,0,108,233,2,0
2021-01-28,1,supermarket,1,0,0,0,88,0,3,0
2021-01-29,1,supermarket,1,0,0,0,99,53,4,0
2021-01-30,1,supermarket,1,0,0,0,109,0,5,0
2021-01-31,1,convenience,0,1,0,0,0,0,6,0
2021-02-01,1,supermarket,1,0,0,0,101,77,0,0
2021-02-02,1,convenience,1,0,0,0,88,93,1,0
2021-02-03,1,convenience,1,0,0,0,110,0,2,0
2021-02-04,1,supermarket,1,1,0,0,141,1793,3,0
2021-02-05,1,convenience,0,0,0,0,0,0,4,0
2021-02-06,1,supermarket,1,0,0,0,101,37,5,0
2021-02-07,1,supermarket,1,0,1,0,100,4,6,0
2021-02-08,1,pharmacy,1,0,1,0,83,0,0,0
2021-02-09,1,supermarket,1,1,1,0,106,1089,1,0
2021-02-10,1,pharmacy,0,0,0,0,0,0,2,0
2021-02-11,1,supermarket,1,1,0,0,82,954,3,0
2021-02-12,1,supermarket,0,0,0,0,0,0,4,0
